time[s],Angle - sensor1.phi [rad],Angle - sensor2.phi [rad]
2.649,1.61238115606314,1.63598443833384
2.65,1.61236342868032,1.63595872090379
2.651,1.61234571024311,1.63593301604828
2.652,1.61232800074931,1.63590732376097
2.653,1.61231030019673,1.63588164403552
2.654,1.61229260858314,1.63585597686558
2.655,1.61227492590632,1.63583032224483
2.656,1.61225725216401,1.63580468016695
2.657,1.61223958735397,1.63577905062559
2.658,1.61222193147391,1.63575343361444
2.659,1.61220428452156,1.6357278291272
2.66,1.61218664649461,1.63570223715754
2.661,1.61216901739076,1.63567665769915
2.662,1.61215139720767,1.63565109074574
2.663,1.61213378594302,1.63562553629101
2.664,1.61211618359444,1.63559999432865
2.665,1.61209859015958,1.63557446485238
2.666,1.61208100563607,1.63554894785592
2.667,1.6120634300215,1.63552344333298
2.668,1.61204586331348,1.63549795127728
2.669,1.61202830550961,1.63547247168255
2.67,1.61201075660744,1.63544700454252
2.671,1.61199321660454,1.63542154985092
2.672,1.61197568549846,1.63539610760149
2.673,1.61195816328674,1.63537067778797
2.674,1.6119406499669,1.63534526040412
2.675,1.61192314553646,1.63531985544368
2.676,1.61190564999291,1.6352944629004
2.677,1.61188816333375,1.63526908276805
2.678,1.61187068555645,1.63524371504038
2.679,1.61185321665848,1.63521835971117
2.68,1.6118357566373,1.63519301677419
2.681,1.61181830549034,1.63516768622321
2.682,1.61180086321504,1.63514236805201
2.683,1.61178342980881,1.63511706225437
2.684,1.61176600526908,1.63509176882409
2.685,1.61174858959322,1.63506648775495
2.686,1.61173118277864,1.63504121904075
2.687,1.6117137848227,1.63501596267528
2.688,1.61169639572278,1.63499071865236
2.689,1.61167901547622,1.63496548696579
2.69,1.61166164408037,1.63494026760937
2.691,1.61164428153255,1.63491506057694
2.692,1.6116269278301,1.6348898658623
2.693,1.61160958297032,1.63486468345927
2.694,1.61159224695051,1.6348395133617
2.695,1.61157491976797,1.6348143555634
2.696,1.61155760141996,1.63478921005822
2.697,1.61154029190377,1.63476407683999
2.698,1.61152299121665,1.63473895590255
2.699,1.61150569935585,1.63471384723976
2.7,1.61148841631861,1.63468875084546
2.701,1.61147114210216,1.63466366671351
2.702,1.61145387670372,1.63463859483777
2.703,1.61143662012049,1.6346135352121
2.704,1.61141937234968,1.63458848783037
2.705,1.61140213338847,1.63456345268645
2.706,1.61138490323405,1.63453842977421
2.707,1.61136768188359,1.63451341908753
2.708,1.61135046933424,1.63448842062029
2.709,1.61133326558316,1.63446343436638
2.71,1.6113160706275,1.6344384603197
2.711,1.61129888446438,1.63441349847412
2.712,1.61128170709092,1.63438854882356
2.713,1.61126453850426,1.63436361136191
2.714,1.61124737870147,1.63433868608307
2.715,1.61123022767968,1.63431377298097
2.716,1.61121308543595,1.6342888720495
2.717,1.61119595196738,1.63426398328259
2.718,1.61117882727103,1.63423910667416
2.719,1.61116171134395,1.63421424221813
2.72,1.61114460418322,1.63418938990842
2.721,1.61112750578585,1.63416454973899
2.722,1.61111041614891,1.63413972170374
2.723,1.6110933352694,1.63411490579664
2.724,1.61107626314434,1.63409010201161
2.725,1.61105919977075,1.63406531034262
2.726,1.61104214514563,1.6340405307836
2.727,1.61102509926597,1.63401576332851
2.728,1.61100806212876,1.63399100797132
2.729,1.61099103373097,1.63396626470597
2.73,1.61097401406956,1.63394153352645
2.731,1.61095700314151,1.63391681442671
2.732,1.61094000094376,1.63389210740074
2.733,1.61092300747326,1.6338674124425
2.734,1.61090602272695,1.63384272954599
2.735,1.61088904670174,1.63381805870517
2.736,1.61087207939457,1.63379339991405
2.737,1.61085512080235,1.63376875316661
2.738,1.61083817092199,1.63374411845685
2.739,1.61082122975038,1.63371949577876
2.74,1.6108042972844,1.63369488512636
2.741,1.61078737352096,1.63367028649364
2.742,1.61077045845692,1.63364569987461
2.743,1.61075355208915,1.6336211252633
2.744,1.61073665441451,1.63359656265371
2.745,1.61071976542986,1.63357201203988
2.746,1.61070288513204,1.63354747341581
2.747,1.61068601351789,1.63352294677555
2.748,1.61066915058425,1.63349843211311
2.749,1.61065229632794,1.63347392942255
2.75,1.61063545074578,1.63344943869789
2.751,1.61061861383458,1.63342495993319
2.752,1.61060178559115,1.63340049312248
2.753,1.61058496601229,1.63337603825981
2.754,1.61056815509478,1.63335159533925
2.755,1.61055135283541,1.63332716435484
2.756,1.61053455923096,1.63330274530065
2.757,1.6105177742782,1.63327833817074
2.758,1.6105009979739,1.63325394295917
2.759,1.61048423031481,1.63322955966003
2.76,1.61046747129769,1.63320518826738
2.761,1.61045072091928,1.63318082877531
2.762,1.61043397917631,1.63315648117789
2.763,1.61041724606554,1.63313214546922
2.764,1.61040052158367,1.63310782164337
2.765,1.61038380572743,1.63308350969444
2.766,1.61036709849354,1.63305920961654
2.767,1.61035039987871,1.63303492140375
2.768,1.61033370987963,1.63301064505018
2.769,1.610317028493,1.63298638054994
2.77,1.61030035571551,1.63296212789714
2.771,1.61028369154385,1.63293788708589
2.772,1.6102670359747,1.6329136581103
2.773,1.61025038900472,1.63288944096451
2.774,1.61023375063059,1.63286523564263
2.775,1.61021712084896,1.63284104213879
2.776,1.6102004996565,1.63281686044712
2.777,1.61018388704985,1.63279269056176
2.778,1.61016728302565,1.63276853247684
2.779,1.61015068758055,1.63274438618651
2.78,1.61013410071118,1.63272025168491
2.781,1.61011752241416,1.63269612896619
2.782,1.61010095268612,1.63267201802449
2.783,1.61008439152368,1.63264791885399
2.784,1.61006783892344,1.63262383144882
2.785,1.61005129488202,1.63259975580316
2.786,1.61003475939602,1.63257569191118
2.787,1.61001823246202,1.63255163976703
2.788,1.61000171407663,1.6325275993649
2.789,1.60998520423643,1.63250357069896
2.79,1.60996870293799,1.63247955376338
2.791,1.60995221017791,1.63245554855235
2.792,1.60993572595273,1.63243155506006
2.793,1.60991925025904,1.63240757328069
2.794,1.6099027830934,1.63238360320844
2.795,1.60988632445235,1.63235964483751
2.796,1.60986987433245,1.63233569816208
2.797,1.60985343273025,1.63231176317638
2.798,1.6098369996423,1.63228783987459
2.799,1.60982057506511,1.63226392825094
2.8,1.60980415899524,1.63224002829963
2.801,1.60978775142921,1.63221614001488
2.802,1.60977135236353,1.63219226339091
2.803,1.60975496179474,1.63216839842195
2.804,1.60973857971934,1.63214454510221
2.805,1.60972220613384,1.63212070342593
2.806,1.60970584103476,1.63209687338734
2.807,1.60968948441858,1.63207305498068
2.808,1.60967313628182,1.63204924820019
2.809,1.60965679662096,1.63202545304011
2.81,1.60964046543248,1.63200166949468
2.811,1.60962414271288,1.63197789755816
2.812,1.60960782845863,1.6319541372248
2.813,1.60959152266621,1.63193038848885
2.814,1.6095752253321,1.63190665134458
2.815,1.60955893645275,1.63188292578624
2.816,1.60954265602463,1.63185921180811
2.817,1.60952638404421,1.63183550940444
2.818,1.60951012050794,1.63181181856952
2.819,1.60949386541226,1.63178813929762
2.82,1.60947761875363,1.63176447158302
2.821,1.6094613805285,1.63174081542
2.822,1.60944515073329,1.63171717080284
2.823,1.60942892936446,1.63169353772585
2.824,1.60941271641843,1.63166991618329
2.825,1.60939651189162,1.63164630616948
2.826,1.60938031578047,1.63162270767872
2.827,1.6093641280814,1.63159912070529
2.828,1.60934794879083,1.63157554524351
2.829,1.60933177790517,1.63155198128769
2.83,1.60931561542082,1.63152842883214
2.831,1.60929946133421,1.63150488787117
2.832,1.60928331564172,1.63148135839909
2.833,1.60926717833978,1.63145784041024
2.834,1.60925104942476,1.63143433389894
2.835,1.60923492889306,1.6314108388595
2.836,1.60921881674108,1.63138735528628
2.837,1.6092027129652,1.63136388317358
2.838,1.60918661756181,1.63134042251577
2.839,1.60917053052728,1.63131697330717
2.84,1.609154451858,1.63129353554212
2.841,1.60913838155033,1.63127010921498
2.842,1.60912231960066,1.6312466943201
2.843,1.60910626600534,1.63122329085182
2.844,1.60909022076074,1.63119989880451
2.845,1.60907418386323,1.63117651817252
2.846,1.60905815530916,1.63115314895022
2.847,1.60904213509488,1.63112979113197
2.848,1.60902612321676,1.63110644471214
2.849,1.60901011967114,1.6310831096851
2.85,1.60899412445436,1.63105978604523
2.851,1.60897813756278,1.6310364737869
2.852,1.60896215899273,1.6310131729045
2.853,1.60894618874055,1.63098988339242
2.854,1.60893022680258,1.63096660524503
2.855,1.60891427317515,1.63094333845673
2.856,1.6088983278546,1.63092008302192
2.857,1.60888239083723,1.63089683893499
2.858,1.6088664621194,1.63087360619034
2.859,1.6088505416974,1.63085038478237
2.86,1.60883462956757,1.63082717470549
2.861,1.60881872572622,1.63080397595412
2.862,1.60880283016967,1.63078078852265
2.863,1.60878694289423,1.63075761240552
2.864,1.6087710638962,1.63073444759713
2.865,1.60875519317189,1.63071129409191
2.866,1.60873933071762,1.63068815188429
2.867,1.60872347652967,1.63066502096869
2.868,1.60870763060435,1.63064190133954
2.869,1.60869179293796,1.63061879299127
2.87,1.6086759635268,1.63059569591834
2.871,1.60866014236714,1.63057261011517
2.872,1.60864432945529,1.6305495355762
2.873,1.60862852478754,1.63052647229589
2.874,1.60861272836016,1.63050342026869
2.875,1.60859694016944,1.63048037948904
2.876,1.60858116021167,1.63045734995141
2.877,1.60856538848312,1.63043433165025
2.878,1.60854962498007,1.63041132458002
2.879,1.6085338696988,1.63038832873518
2.88,1.60851812263557,1.63036534411022
2.881,1.60850238378666,1.63034237069959
2.882,1.60848665314834,1.63031940849777
2.883,1.60847093071687,1.63029645749924
2.884,1.60845521648852,1.63027351769847
2.885,1.60843951045955,1.63025058908996
2.886,1.60842381262622,1.63022767166818
2.887,1.60840812298479,1.63020476542763
